Topic/Chapter Name,Video Description,Video URL
Conic Section Parabola,Part 1,https://www.youtube.com/watch?v=NDh-e90gPX4&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=2
Conic Section Parabola,Part 2,https://www.youtube.com/watch?v=wG7Hd-RQP-w&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=1
Conic Section Parabola,Different Forms of Parabolas part3,https://www.youtube.com/watch?v=GlFC0nQqcak&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=3
Conic Section Parabola,Part 4,https://www.youtube.com/watch?v=1ei617eBkSk&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=4
Conic Section Parabola,Part 5,https://www.youtube.com/watch?v=r5apchhcGVs&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=5
Indefinite Integration,Part 1,https://www.youtube.com/watch?v=Cu3PmcB-RYM&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=6
Indefinite Integration,Part 2,https://www.youtube.com/watch?v=N9IUOvRi6_s&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=7
Indefinite Integration,part3,https://www.youtube.com/watch?v=fIHHZej_InI&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=8
Circles,Definition of Circles part1,https://www.youtube.com/watch?v=xF8MgoSWTpc&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=23
Circles,Tangent part2,https://www.youtube.com/watch?v=gmKxBW_6lk8&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=9
Circles,part3,https://www.youtube.com/watch?v=9CJLY_IQdEE&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=10
Circles,"Pole, Polar part4",https://www.youtube.com/watch?v=MIxzyq0HKyA&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=11
Circles,part5,https://www.youtube.com/watch?v=ixzbFXI_yRw&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=12
Circles,part6,https://www.youtube.com/watch?v=FAuAlk-ATgA&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=22
Circles,part7,https://www.youtube.com/watch?v=Wd4kGj7YaTA&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=13
Circles,part8,https://www.youtube.com/watch?v=qUZu-VYia5Q&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=14
Circles,part9,https://www.youtube.com/watch?v=yaeKz6p4LXY&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=15
Circles,part10,https://www.youtube.com/watch?v=XSEVAQVLqwk&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=16
Circles,part11,https://www.youtube.com/watch?v=P1bwFr3Amw8&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=17
Circles,part12,https://www.youtube.com/watch?v=DDaIQxexslM&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=18
Circles,Relation between two circles part13,https://www.youtube.com/watch?v=9LnN_6jbKHY&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=19
Circles,Common Tangent part14,https://www.youtube.com/watch?v=Hmhk2ZVlNZM&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=20
Circles,Find the Point of Tangent part15,https://www.youtube.com/watch?v=enF85fIQVsY&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=21
System Of Circles,Part 1,https://www.youtube.com/watch?v=KpsnyTINYe4&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=24
System Of Circles,problem part2,https://www.youtube.com/watch?v=jUnxrVkw5Vc&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=25
System Of Circles,part3,https://www.youtube.com/watch?v=UF-e7uuL750&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=26
System Of Circles,Part 4,https://www.youtube.com/watch?v=CoUl_xtAM0E&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=27
System Of Circles,Part 5,https://www.youtube.com/watch?v=wJ15mzocxFU&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=28
System Of Circles,Part 6,https://www.youtube.com/watch?v=vHH_SMvYzPU&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=29
Definite Integrals,Part 1,https://www.youtube.com/watch?v=uUwfj0ZuyqQ&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=30
Definite Integrals,Part 2,https://www.youtube.com/watch?v=s7lpdKK3ld0&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=31
Definite Integrals,Part 3,https://www.youtube.com/watch?v=mIOn8CjJ8TQ&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=32
Definite Integrals,Part 4,https://www.youtube.com/watch?v=RyulcYw5eeQ&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=33
Definite Integrals,Part 5,https://www.youtube.com/watch?v=mGzSudzJNrA&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=34
Definite Integrals,Part 6,https://www.youtube.com/watch?v=i9-88SP74II&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=35
Definite Integrals,Part 7,https://www.youtube.com/watch?v=WE7IPbm4JnE&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=36
Definite Integrals,Part 8,https://www.youtube.com/watch?v=BgOCl13zulg&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=38
Definite Integrals,Part 9,https://www.youtube.com/watch?v=20LWMNT7Xoc&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=37
Definite Integrals,Part 10,https://www.youtube.com/watch?v=3g9WA40tDEY&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=40
